smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
CSCCC1N->[Co+2]<-N(C(Cc2ccccc2)C(=O)O)C1=O,1.91,Co,21,2,N,1
CSCCC1N->[Co+2]<-O=C1O,4.16,Co,10,2,N+O,9
CSCCC1N->[Cr+3]<-O=C1O,7.52,Cr,10,2,N+O,3
CSCCC1N->[Cu+2]<-N(C(CCSC)C(=O)O)C1=O,5.12,Cu,18,2,N,1
CSCCC1N->[Cu+2]<-N(CC(=O)O)C1=O,4.906,Cu,14,2,N,4
CSCCC1N->[Cu+2]<-N(O)C1=O,10.595,Cu,11,2,N,4
CSCCC1N->[Cu+2]<-O=C1O,7.87,Cu,10,2,N+O,17
CSCCC1N->[Cu+2]<-P1(=O)(O)O,8.21,Cu,11,2,N+P,1
CSCCC1N->[Fe+2]<-O=C1O,3.24,Fe,10,2,N+O,1
CSCCC1N->[Fe+3]<-N(O)C1=O,12.075,Fe,11,2,N,2
CSCCC1N->[Fe+3]<-O=C1O,8.525,Fe,10,2,N+O,2
CSCCC1N->[Gd+3]<-O=C1O,4.93,Gd,10,2,N+O,1
CSCCC1N->[La+3]<-O=C1O,4.72,La,10,2,N+O,2
CSCCC1N->[Mn+2]<-O=C1O,2.89,Mn,10,2,N+O,5
CSCCC1N->[Nd+3]<-O=C1O,5.125,Nd,10,2,N+O,2
CSCCC1N->[Ni+2]<-N(C(Cc2ccccc2)C(=O)O)C1=O,3.13,Ni,21,2,N,1
CSCCC1N->[Ni+2]<-N(CC(=O)O)C1=O,3.33,Ni,14,2,N,1
CSCCC1N->[Ni+2]<-N(O)C1=O,6.55,Ni,11,2,N,3
CSCCC1N->[Ni+2]<-O=C1O,5.41,Ni,10,2,N+O,15
CSCCC1N->[Pb+2]<-O=C1O,4.39,Pb,10,2,N+O,2
CSCCC1N->[Pd+2]<-N(O)C1=O,13.23,Pd,11,2,N,1
CSCCC1N->[Pd+2]<-O=C1O,16.8,Pd,10,2,N+O,1
CSCCC1N->[Pr+3]<-O=C1O,4.845,Pr,10,2,N+O,2
CSCCC1N->[Sm+3]<-O=C1O,5.24,Sm,10,2,N+O,2
CSCCC1N->[Th+4]<-O=C1O,6.85,Th,10,2,N+O,2
CSCCC1N->[Y+3]<-O=C1O,5.16,Y,10,2,N+O,2
CSCCC1N->[Zn+2]<-O=C1O,4.42,Zn,10,2,N+O,8
CSCCCN1->[Cu+2]<-N(CCCSC)CC1,11.41,Cu,15,2,N,1
CSCCCSCCS1->[Cu+2]<-S(C)CCC1,1.18,Cu,15,2,S,1
CSCCCS[C@@H]1CCCC[C@@H]1S1->[Cu+2]<-S(C)CCC1,2.45,Cu,19,2,S,1
CSCCN1(CC(=O)O)->[Ba+2]<-O=C(O)C1,2.62,Ba,14,2,N+O,1
CSCCN1(CC(=O)O)->[Ca+2]<-O=C(O)C1,3.34,Ca,14,2,N+O,1
CSCCN1(CC(=O)O)->[Cd+2]<-O=C(O)C1,7.89,Cd,14,2,N+O,1
CSCCN1(CC(=O)O)->[Co+2]<-O=C(O)C1,8.51,Co,14,2,N+O,1
CSCCN1(CC(=O)O)->[Cu+2]<-O=C(O)C1,12.63,Cu,14,2,N+O,1
CSCCN1(CC(=O)O)->[Fe+2]<-O=C(O)C1,7.12,Fe,14,2,N+O,1
CSCCN1(CC(=O)O)->[Hg+2]<-O=C(O)C1,8.01,Hg,14,2,N+O,1
CSCCN1(CC(=O)O)->[Mg+2]<-O=C(O)C1,3.02,Mg,14,2,N+O,1
CSCCN1(CC(=O)O)->[Mn+2]<-O=C(O)C1,5.1,Mn,14,2,N+O,1
CSCCN1(CC(=O)O)->[Ni+2]<-O=C(O)C1,10.0,Ni,14,2,N+O,1
CSCCN1(CC(=O)O)->[Pb+2]<-O=C(O)C1,9.12,Pb,14,2,N+O,1
CSCCN1(CC(=O)O)->[Sr+2]<-O=C(O)C1,2.71,Sr,14,2,N+O,1
CSCCN1(CC(=O)O)->[Zn+2]<-O=C(O)C1,8.28,Zn,14,2,N+O,1
CSCCN1->[Cu+2]<-NCC1,11.377,Cu,9,2,N,1
CSCCN1->[Cu+2]<-NCCC1,11.009,Cu,10,2,N,1
CSCCN1->[Ni+2]<-NCC1,7.063,Ni,9,2,N,1
CSCCN1->[Ni+2]<-NCCC1,6.881,Ni,10,2,N,1
CSCCN12->[Cu+2]<-N(CC1=O)C(=O)C2,-0.45,Cu,13,2,N,1
CSCCN12->[Mn+2]<-N(CC1=O)C(=O)C2,-0.6,Mn,13,2,N,1
CSCCN12->[Ni+2]<-N(CC1=O)C(=O)C2,-0.6,Ni,13,2,N,1
CSCCN12->[Zn+2]<-N(CC1=O)C(=O)C2,-0.6,Zn,13,2,N,1
CSCCSCCCS1->[Cu+2]<-S(C)CC1,1.97,Cu,14,2,S,1
CSCC[C@@H](C(=O)NCC(=O)O)N1->[Cu+2]<-NCC1=O,5.06,Cu,18,2,N,1
CSCC[C@@H](C(=O)O)N1->[Ag]<-NCC1=O,4.7,Ag,14,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cd+2]<-NCC1=O,2.82,Cd,14,2,N,1
CSCC[C@@H](C(=O)O)N1->[Co+2]<-NCC1=O,3.08,Co,14,2,N,1
CSCC[C@@H](C(=O)O)N1->[Co+2]<-N[C@@H](Cc2ccccc2)C1=O,2.43,Co,21,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-N(C(=O)CN)CC1=O,5.09,Cu,18,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-NCC1=O,5.69,Cu,14,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](C)C1=O,6.48,Cu,15,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](CSC)C1=O,5.425,Cu,17,2,N,2
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](Cc2c[nH]cn2)C1=O,8.55,Cu,20,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](Cc2ccccc2)C1=O,4.97,Cu,21,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](Cc2cnc[nH]2)C1=O,8.55,Cu,20,2,N,1
CSCC[C@@H](C(=O)O)N1->[Cu+2]<-n2ccccc2C1,9.3,Cu,17,2,N,1
CSCC[C@@H](C(=O)O)N1->[Ni+2]<-NCC1=O,4.15,Ni,14,2,N,1
CSCC[C@@H](C(=O)O)N1->[Ni+2]<-N[C@@H](Cc2c[nH]cn2)C1=O,6.7,Ni,20,2,N,1
CSCC[C@@H](C(=O)O)N1->[Ni+2]<-N[C@@H](Cc2ccccc2)C1=O,2.68,Ni,21,2,N,1
CSCC[C@@H](C(=O)O)N1->[Ni+2]<-N[C@@H](Cc2cnc[nH]2)C1=O,6.7,Ni,20,2,N,1
CSCC[C@@H](C(=O)O)N1->[Sn+4]<-O=C1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.8,Sn,22,2,N+O,1
CSCC[C@@H](C(N)=O)N1->[Cu+2]<-N(C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CCCN=C(N)N)[C@@H](CC(C)C)C1=O,7.73,Cu,96,2,N,1
CSCC[C@@H]1N->[Ag]<-N(CC(=O)O)C1=O,4.63,Ag,14,2,N,1
CSCC[C@@H]1N->[Ag]<-N([C@@H](CCSC)C(=O)O)C1=O,5.81,Ag,18,2,N,1
CSCC[C@@H]1N->[Ag]<-N([C@H](CCSC)C(=O)O)C1=O,5.71,Ag,18,2,N,1
CSCC[C@@H]1N->[Cd+2]<-N(C)C1=O,2.29,Cd,11,2,N,1
CSCC[C@@H]1N->[Co+2]<-NC(C)P(=O)(O)OC1=O,3.152,Co,16,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N(C)C1=O,4.39,Cu,11,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N(CC(=O)NCC(=O)O)C1=O,4.42,Cu,18,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N(CC(=O)O)C1=O,5.04,Cu,14,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@@H](C(=O)O)C(C)C)C1=O,5.01,Cu,17,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@@H](CCSC)C(=O)N[C@@H](C)C(=O)O)C1=O,4.39,Cu,23,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@@H](CCSC)C(=O)O)C1=O,5.4,Cu,18,2,N,3
CSCC[C@@H]1N->[Cu+2]<-N([C@@H](CSC)C(=O)O)C1=O,5.49,Cu,17,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@@H](Cc2c[nH]cn2)C(=O)O)C1=O,8.75,Cu,20,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@@H](Cc2ccccc2)C(=O)O)C1=O,4.76,Cu,21,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@H](C(=O)O)C(C)C)C1=O,4.96,Cu,17,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@H](CCSC)C(=O)O)C1=O,5.12,Cu,18,2,N,1
CSCC[C@@H]1N->[Cu+2]<-N([C@H](Cc2ccccc2)C(=O)O)C1=O,4.93,Cu,21,2,N,1
CSCC[C@@H]1N->[Cu+2]<-NC(C)P(=O)(O)OC1=O,6.53,Cu,16,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N(C)C1=O,2.79,Ni,11,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N(CC(=O)O)C1=O,3.33,Ni,14,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N([C@@H](C(=O)O)C(C)C)C1=O,3.23,Ni,17,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N([C@@H](Cc2c[nH]cn2)C(=O)O)C1=O,4.22,Ni,20,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N([C@@H](Cc2ccccc2)C(=O)O)C1=O,3.13,Ni,21,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N([C@H](C(=O)O)C(C)C)C1=O,3.21,Ni,17,2,N,1
CSCC[C@@H]1N->[Ni+2]<-N([C@H](Cc2ccccc2)C(=O)O)C1=O,3.51,Ni,21,2,N,1
CSCC[C@@H]1N->[Ni+2]<-NC(C)P(=O)(O)OC1=O,3.923,Ni,16,2,N,1
CSCC[C@@H]1N->[Zn+2]<-NC(C)P(=O)(O)OC1=O,4.16,Zn,16,2,N,1
CSCC[C@H](N)C(=O)N1->[Cu+2]<-N([C@@H](CCSC)C(=O)O)C(=O)C1,4.18,Cu,22,2,N,1
CSCC[C@H](N)C(=O)N1->[Cu+2]<-N([C@@H](CCSC)C(=O)O)C(=O)[C@@H]1CCSC,3.9,Cu,26,2,N,1
CSCC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N1->[Cu+2]<-N([C@@H](CCSC)C(=O)N[C@@H](C)C(N)=O)C(=O)[C@@H]1C,15.12,Cu,61,2,N,1
CSCC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(C)=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N1->[Cu+2]<-N([C@@H](CCSC)C(=O)N[C@@H](C)C(N)=O)C(=O)[C@@H]1Cc1cnc[nH]1,12.61,Cu,69,2,N,1
CSCC[C@H]1C(=O)N(C)->[Cu+2]<-N1C(=O)[C@@H](N)Cc1ccccc1,4.23,Cu,22,2,N,1
CSCC[C@H]1C(=O)N(O)->[Cu+2]<-N1C(=O)C(C)=O,8.37,Cu,16,2,N,1
CSCC[C@H]1N->[Cu+2]<-N([C@@H](CSC)C(=O)O)C1=O,5.42,Cu,17,2,N,1
CSC[C@@H](C(=O)O)N1->[Cu+2]<-NCC1=O,5.7,Cu,13,2,N,1
CSC[C@@H]1N->[Cu+2]<-N(CC(=O)O)C1=O,5.0,Cu,13,2,N,1
CSC[C@@H]1N->[Cu+2]<-N([C@@H](CSC)C(=O)O)C1=O,5.32,Cu,16,2,N,1
CSCc1cccc2n1->[Cu+2]<-S(C)C2,4.6,Cu,13,2,N+S,1
CSc1c2ncn(C)c2n2->[Cu+2]<-n1c2,1.62,Cu,13,2,N,1
CSc1c2ncn(C)c2n2->[Ni+2]<-n1c2,1.31,Ni,13,2,N,1
CSc1c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n2->[Cu+2]<-n1c2,0.8,Cu,21,2,N,1
CSc1ccccc1N1->[Cu+2]<-N=1c1cc(S(=O)(=O)O)c2ccccc2c1O,15.51,Cu,26,2,N,1
CSc1ccccc1N1->[Cu+2]<-N=1c1cc(S(=O)(=O)O)c2cccnc2c1O,19.78,Cu,26,2,N,1
CSc1n2->[Co+2]<-[nH]1c1ccccc12,10.31,Co,12,2,N,1
CSc1n2->[Ni+2]<-[nH]1c1ccccc12,9.39,Ni,12,2,N,1
CSc1n2->[Zn+2]<-[nH]1c1ccccc12,9.14,Zn,12,2,N,1
CSc1n2c(-c3ccccn3)nn1->[Cu+2]<-N2,4.62,Cu,15,2,N,1
CSc1nc2c(c(=O)n1C)N(=O)->[Cd+2]<-N2,3.96,Cd,14,2,N,1
CSc1nc2c(c(=O)n1C)N(=O)->[Hg+2]<-N2,5.76,Hg,14,2,N,1
CSc1nc2c(c(=O)n1C)N(=O)->[Zn+2]<-N2,5.54,Zn,14,2,N,1
CSc1nc2c3cn1->[Cu+2]<-n3cn2C,1.69,Cu,13,2,N,1
CSc1nc2c3cn1->[Ni+2]<-n3cn2C,1.33,Ni,13,2,N,1
C[C@@H](C(=O)NCC(=O)O)N1->[Cu+2]<-NCC1=O,5.18,Cu,15,2,N,3
C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)O)N1->[Cu+2]<-N2C(=O)CC[C@H]2C1=O,5.077,Cu,61,2,N,1
C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)N1->[Cu+2]<-N(C(=O)[C@@H](N)CC(N)=O)[C@@H](CO)C1=O,9.08,Cu,44,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(N)=O)N1->[Cu+2]<-N[C@@H](CC(=O)O)C1=O,14.18,Cu,34,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(N)=O)N1->[Cu+2]<-N[C@@H](CO)C1=O,13.32,Cu,32,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(N)=O)N1->[Ni+2]<-N[C@@H](CC(=O)O)C1=O,10.04,Ni,34,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(N)=O)N1->[Ni+2]<-N[C@@H](CO)C1=O,7.98,Ni,32,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O)N1->[Cu+2]<-N[C@@H](CC(=O)O)C1=O,9.0,Cu,25,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O)N1->[Ni+2]<-N[C@@H](CC(=O)O)C1=O,5.68,Ni,25,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O)N1->[Cu+2]<-N[C@@H](CC(=O)O)C1=O,8.48,Cu,25,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O)N1->[Ni+2]<-N[C@@H](CC(=O)O)C1=O,5.27,Ni,25,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)N1->[Cu+2]<-N(C(=O)[C@H](CO)NC(=O)[C@@H](N)CC(N)=O)[C@@H](Cc2ccccc2)C1=O,9.31,Cu,44,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)N1->[Cu+2]<-N[C@@H](CC(N)=O)C1=O,8.63,Cu,49,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O)N1->[Cu+2]<-Nc2ccc(cc2)S1(=O)=O,9.21,Cu,27,2,N,1
C[C@@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O)N1->[Pd+2]<-N(C(=O)[C@@H]2CCCN2)CC1=O,15.72,Pd,28,2,N,1
C[C@@H](C(=O)O)N1(Cc2ccccn2)->[Zn+2]<-n2ccccc2C1,11.12,Zn,21,2,N,1
C[C@@H](C(=O)O)N1->[Co+2]<-NCC1=O,3.16,Co,11,2,N,1
C[C@@H](C(=O)O)N1->[Co+2]<-N[C@@H](Cc2ccccc2)C1=O,2.64,Co,18,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-N(C(=O)CN)CC1=O,5.08,Cu,15,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-N(C(=O)CNC(=O)CNC(=O)CN)CC1=O,5.35,Cu,23,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-N(C(=O)c2ccccc2O)CC1=O,4.45,Cu,20,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-N2CCC[C@H]2C1=O,6.6,Cu,14,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-NCC1=O,5.71,Cu,11,2,N,2
C[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](CC(=O)O)C1=O,6.59,Cu,15,2,N,2
C[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](CCC(=O)O)C1=O,6.17,Cu,16,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](CCCNC(=N)N)C1=O,4.91,Cu,18,2,N,1
C[C@@H](C(=O)O)N1->[Cu+2]<-N[C@@H](Cc2ccc(O)cc2)C1=O,11.623,Cu,19,2,N,1
C[C@@H](C(=O)O)N1->[Ni+2]<-N2CCC[C@H]2C1=O,4.41,Ni,14,2,N,1
C[C@@H](C(=O)O)N1->[Ni+2]<-NCC1=O,4.25,Ni,11,2,N,1
C[C@@H](C(=O)O)N1->[Ni+2]<-N[C@@H](CCCNC(=N)N)C1=O,4.83,Ni,18,2,N,1
C[C@@H](C(=O)O)N1->[Ni+2]<-N[C@@H](Cc2ccccc2)C1=O,2.39,Ni,18,2,N,1
C[C@@H](N->[Cd+2])[C@@H](O)c1ccccc1,2.61,Cd,12,1,N,1
C[C@@H](O)C(O)=O->[AlH2+3],2.42,Al,7,1,O,2
C[C@@H](O)C(O)=O->[Am+3],2.475,Am,7,1,O,2
C[C@@H](O)C(O)=O->[Ba+2],0.6,Ba,7,1,O,3
C[C@@H](O)C(O)=O->[Ca+2],1.02,Ca,7,1,O,4
C[C@@H](O)C(O)=O->[Cd+2],1.28,Cd,7,1,O,4
C[C@@H](O)C(O)=O->[Ce+3],2.445,Ce,7,1,O,2
C[C@@H](O)C(O)=O->[Co+2],1.43,Co,7,1,O,3
C[C@@H](O)C(O)=O->[Cu+2],2.555,Cu,7,1,O,4
C[C@@H](O)C(O)=O->[Dy+3],2.82,Dy,7,1,O,2
C[C@@H](O)C(O)=O->[Er+3],2.955,Er,7,1,O,2
C[C@@H](O)C(O)=O->[Eu+3],2.51,Eu,7,1,O,3
C[C@@H](O)C(O)=O->[Gd+3],2.72,Gd,7,1,O,2
C[C@@H](O)C(O)=O->[Ho+3],2.88,Ho,7,1,O,2
C[C@@H](O)C(O)=O->[La+3],2.39,La,7,1,O,2
C[C@@H](O)C(O)=O->[Lu+3],3.3,Lu,7,1,O,1
C[C@@H](O)C(O)=O->[Mg+2],0.98,Mg,7,1,O,3
C[C@@H](O)C(O)=O->[Mn+2],1.19,Mn,7,1,O,3
C[C@@H](O)C(O)=O->[Nd+3],2.525,Nd,7,1,O,2
C[C@@H](O)C(O)=O->[Ni+2],1.71,Ni,7,1,O,3
C[C@@H](O)C(O)=O->[PbH+2],2.18,Pb,7,1,O,4
C[C@@H](O)C(O)=O->[Pd+2],3.72,Pd,7,1,O,1
C[C@@H](O)C(O)=O->[Pr+3],2.55,Pr,7,1,O,1
C[C@@H](O)C(O)=O->[Sc+3],5.2,Sc,7,1,O,1
C[C@@H](O)C(O)=O->[Sm+3],2.63,Sm,7,1,O,3
C[C@@H](O)C(O)=O->[Sr+2],0.75,Sr,7,1,O,3
C[C@@H](O)C(O)=O->[Tb+3],2.78,Tb,7,1,O,2
C[C@@H](O)C(O)=O->[Tm+3],3.17,Tm,7,1,O,1
C[C@@H](O)C(O)=O->[U+4],4.4,U,7,1,O,1
C[C@@H](O)C(O)=O->[Y+3],2.76,Y,7,1,O,2
C[C@@H](O)C(O)=O->[Yb+3],3.05,Yb,7,1,O,2
C[C@@H](O)C(O)=O->[Zn+2],1.765,Zn,7,1,O,4
C[C@@H](O)CN->[Cd+2],3.54,Cd,6,1,N,1
C[C@@H](O)CN->[Ni+2],3.2,Ni,6,1,N,1
C[C@@H](O)CN->[PbH+2],5.49,Pb,6,1,N,1
C[C@@H](O)CN->[Zn+2],6.54,Zn,6,1,N,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Cd+2]<-O=C(O)C1,5.84,Cd,13,2,N+O,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Cu+2]<-N(C(=O)c2cccc(O)c2O)[C@@H](C)C1=O,4.8,Cu,24,2,N,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Cu+2]<-N(c2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O,3.47,Cu,30,2,N,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Cu+2]<-N(c2ncnc3nc[nH]c23)C1=O,10.19,Cu,21,2,N,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Cu+2]<-NCC1=O,5.245,Cu,13,2,N,4
C[C@@H](O)[C@@H](C(=O)O)N1->[Cu+2]<-O=C(O)C1,10.83,Cu,13,2,N+O,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Hg+2]<-O=C(O)C1,10.11,Hg,13,2,N+O,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Ni+2]<-N(c2ncnc3nc[nH]c23)C1=O,5.15,Ni,21,2,N,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Pb+2]<-O=C(O)C1,8.0,Pb,13,2,N+O,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Zn+2]<-N(c2ncnc3nc[nH]c23)C1=O,4.68,Zn,21,2,N,1
C[C@@H](O)[C@@H](C(=O)O)N1->[Zn+2]<-O=C(O)C1,7.06,Zn,13,2,N+O,1
C[C@@H](O)[C@@H]1N->[Co+2]<-N(O)C1=O,5.787,Co,10,2,N,1
C[C@@H](O)[C@@H]1N->[Cu+2]<-N(CC(=O)O)C1=O,4.98,Cu,13,2,N,2
C[C@@H](O)[C@@H]1N->[Fe+3]<-N(O)C1=O,11.79,Fe,10,2,N,1
C[C@@H](O)[C@@H]1N->[Ni+2]<-N(O)C1=O,6.476,Ni,10,2,N,1
C[C@@H](O)[C@H]1C(O)=O->[Cu+2]<-N1CP(=O)(O)O,11.51,Cu,14,2,N+O,1
C[C@@H](O)[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O[C@H]4OC[C@](C)(O)[C@@H]([C@H]4O)N(C)->[Cu+2]<-N[C@@H]2[C@@H](O)[C@@H]1O)[C@H](N)C[C@@H]3N,7.96,Cu,35,2,N,1
C[C@@H]([C@H](O)c1ccccc1)N(C)->[Fe+2],6.25,Fe,13,1,N,1
C[C@@H]([C@H](O)c1ccccc1)N(C)->[Fe+3],3.68,Fe,13,1,N,1
C[C@@H]([C@H](O)c1ccccc1)N(C)->[Hg+2],4.24,Hg,13,1,N,1
C[C@@H]([C@H](O)c1ccccc1)N(C)->[Zn+2],5.13,Zn,13,1,N,1
C[C@@H]1CN2->[Ag]<-N1C[C@@H]2C,3.48,Ag,9,2,N,1
C[C@@H]1Cc2c(Cl)cc(C3=O->[Cu+2]<-N3[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,6.4,Cu,29,2,N+O,1
C[C@@H]1N->[Ca+2]<-N(CC(=O)O)C1=O,0.66,Ca,11,2,N,1
C[C@@H]1N->[Ca+2]<-P1(=O)(O)O,1.43,Ca,8,2,N+P,1
C[C@@H]1N->[Cd+2]<-n2ccccc21,4.49,Cd,10,2,N,1
C[C@@H]1N->[Co+2]<-N(CP(=O)(O)O)C1=O,2.837,Co,12,2,N,1
C[C@@H]1N->[Co+2]<-N([C@@H](C)C(=O)O)C1=O,2.58,Co,12,2,N,1
C[C@@H]1N->[Co+2]<-N([C@H](C)C(=O)O)C1=O,2.74,Co,12,2,N,1
C[C@@H]1N->[Co+2]<-N[C@@H]1C,4.84,Co,7,2,N,1
C[C@@H]1N->[Co+2]<-N[C@H](C)P(=O)(O)OC1=O,3.013,Co,13,2,N,1
C[C@@H]1N->[Co+2]<-P1(=O)(O)O,4.565,Co,8,2,N+P,2
C[C@@H]1N->[Co+2]<-n2ccccc21,5.22,Co,10,2,N,1
C[C@@H]1N->[Cu+2]<-N(C(C)(C)C(=O)NC(C)(C)C(=O)O)C1=O,5.83,Cu,19,2,N,1
C[C@@H]1N->[Cu+2]<-N(C(C)(C)C(=O)O)C1=O,5.6,Cu,13,2,N,1
C[C@@H]1N->[Cu+2]<-N(C(C)(C)C(N)=O)C1=O,4.42,Cu,13,2,N,1
C[C@@H]1N->[Cu+2]<-N(CC(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)C1=O,8.11,Cu,28,2,N,1
C[C@@H]1N->[Cu+2]<-N(CC(=O)NCC(=O)NCC(=O)NCC(=O)O)C1=O,5.4,Cu,23,2,N,1
C[C@@H]1N->[Cu+2]<-N(CC(=O)NCC(=O)NCC(=O)O)C1=O,5.08,Cu,19,2,N,1
C[C@@H]1N->[Cu+2]<-N(CC(=O)NCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)C1=O,8.43,Cu,25,2,N,1
C[C@@H]1N->[Cu+2]<-N(CC(=O)NCC(=O)O)C1=O,4.76,Cu,15,2,N,4
C[C@@H]1N->[Cu+2]<-N(CC(=O)O)C1=O,5.27,Cu,11,2,N,1
C[C@@H]1N->[Cu+2]<-N(CP(=O)(O)O)C1=O,6.36,Cu,12,2,N,1
C[C@@H]1N->[Cu+2]<-N(OP(=O)(O)CC2CC2)C1=O,6.8,Cu,15,2,N,1
C[C@@H]1N->[Cu+2]<-N([C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)C1=O,6.67,Cu,28,2,N,1
C[C@@H]1N->[Cu+2]<-N([C@@H](C)C(=O)O)C1=O,5.35,Cu,12,2,N,1
C[C@@H]1N->[Cu+2]<-N([C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)NCC(=O)O)C1=O,6.63,Cu,25,2,N,1
C[C@@H]1N->[Cu+2]<-N([C@@H](CC(=O)O)C(=O)N[C@@H](COCc2ccccc2)C(=O)NCC(=O)O)C1=O,6.18,Cu,32,2,N,1
