smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
C(Cc1nnn[nH]1)NCCN1->[Hg+2]<-N(CCc2nnn[nH]2)CC1,20.25,Hg,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Ni+2]<-N(CCc2nnn[nH]2)CC1,19.0,Ni,22,2,N,1
C(Cc1nnn[nH]1)NCCN1->[Zn+2]<-N(CCc2nnn[nH]2)CC1,17.52,Zn,22,2,N,1
C(\c1ccccn1)=N1->[Cd+2]<-N/1c1ccccn1,5.43,Cd,16,2,N,1
C(\c1ccccn1)=N1->[Cu+2]<-N/1c1ccccn1,11.0,Cu,16,2,N,1
C(\c1ccccn1)=N1->[Mn+2]<-N/1c1ccccn1,3.68,Mn,16,2,N,1
C(\c1ccccn1)=N1->[Zn+2]<-N/1c1ccccn1,6.21,Zn,16,2,N,1
C/C(c1ccccc1O)=N1->[Ce+3]<-O=C(O)[C@@H]/1C,7.82,Ce,16,2,N+O,1
C/C(c1ccccc1O)=N1->[Gd+3]<-O=C(O)[C@@H]/1C,9.46,Gd,16,2,N+O,1
C/C(c1ccccc1O)=N1->[La+3]<-O=C(O)[C@@H]/1C,6.97,La,16,2,N+O,1
C/C(c1ccccc1O)=N1->[Nd+3]<-O=C(O)[C@@H]/1C,8.67,Nd,16,2,N+O,1
C/C(c1ccccc1O)=N1->[Pr+3]<-O=C(O)[C@@H]/1C,8.31,Pr,16,2,N+O,1
C/C(c1ccccc1O)=N1->[Sm+3]<-O=C(O)[C@@H]/1C,9.11,Sm,16,2,N+O,1
C/C=C/C(O)=O->[Ag],-1.05,Ag,7,1,O,1
C/C=C/C(O)=O->[Cd+2],1.97,Cd,7,1,O,1
C/C=C/C(O)=O->[Ce+3],3.5,Ce,7,1,O,3
C/C=C/C(O)=O->[Eu+3],1.78,Eu,7,1,O,1
C/C=C/C(O)=O->[La+3],3.335,La,7,1,O,2
C/C=C/C(O)=O->[Nd+3],3.83,Nd,7,1,O,2
C/C=C/C(O)=O->[PbH+2],2.0,Pb,7,1,O,1
C/C=C/C(O)=O->[Pr+3],3.69,Pr,7,1,O,2
C/C=C/C(O)=O->[Sm+3],3.98,Sm,7,1,O,2
C1#N->[Ac+3]<-S1,0.05,Ac,4,2,N+S,1
C1#N->[Ac+3]<-[S-]1,-0.35,Ac,4,2,N+S,2
C1#N->[Ag]<-NC1,1.9,Ag,5,2,N,1
C1#N->[Ag]<-S1,4.7,Ag,4,2,N+S,2
C1#N->[Am+3]<-S1,0.59,Am,4,2,N+S,3
C1#N->[Am+3]<-[S-]1,0.5,Am,4,2,N+S,7
C1#N->[Bi+3]<-S1,1.845,Bi,4,2,N+S,4
C1#N->[Bi+3]<-[S-]1,1.265,Bi,4,2,N+S,2
C1#N->[Bk+3]<-S1,0.67,Bk,4,2,N+S,2
C1#N->[Bk+3]<-[S-]1,0.675,Bk,4,2,N+S,2
C1#N->[Cd+2]<-S1,1.35,Cd,4,2,N+S,7
C1#N->[Cd+2]<-[S-]1,1.325,Cd,4,2,N+S,22
C1#N->[Ce+3]<-S1,0.59,Ce,4,2,N+S,1
C1#N->[Ce+3]<-[S-]1,0.145,Ce,4,2,N+S,2
C1#N->[Cf+3]<-S1,0.53,Cf,4,2,N+S,1
C1#N->[Cf+3]<-[S-]1,0.49,Cf,4,2,N+S,3
C1#N->[Cm+3]<-S1,0.455,Cm,4,2,N+S,2
C1#N->[Cm+3]<-[S-]1,0.445,Cm,4,2,N+S,6
C1#N->[Co+2]<-S1,1.19,Co,4,2,N+S,6
C1#N->[Co+2]<-[S-]1,0.99,Co,4,2,N+S,12
C1#N->[Co+3]<-[S-]1,1.077,Co,4,2,N+S,1
C1#N->[Cr+3]<-[S-]1,1.87,Cr,4,2,N+S,1
C1#N->[Cu+2]<-S1,1.895,Cu,4,2,N+S,10
C1#N->[Cu+2]<-[S-]1,1.74,Cu,4,2,N+S,5
C1#N->[Dy+3]<-S1,0.25,Dy,4,2,N+S,1
C1#N->[Er+3]<-S1,0.3,Er,4,2,N+S,1
C1#N->[Eu+3]<-S1,0.38,Eu,4,2,N+S,3
C1#N->[Eu+3]<-[S-]1,0.32,Eu,4,2,N+S,7
C1#N->[Fe+2]<-[S-]1,1.61,Fe,4,2,N+S,2
